epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5053,1.95017,4.14708,1.84808,0.0807,0.07407,0.07356,0.03129,1.95076,3.97549,1.97787,4.287e-05,4.287e-05,4.287e-05
2,16.9886,2.37557,4.08246,2.16907,0.2407,0.32011,0.24843,0.08014,1.8674,3.27803,1.88049,9.90397e-05,9.90397e-05,9.90397e-05
3,19.5582,1.93142,3.03482,1.82819,0.56232,0.41005,0.32941,0.14226,1.6689,3.53364,1.76892,0.000154078,0.000154078,0.000154078
4,22.6734,1.85116,2.54679,1.74548,0.19874,0.5062,0.34329,0.16589,1.5785,3.03423,1.61532,0.000207984,0.000207984,0.000207984
5,26.0455,1.85421,2.48199,1.75035,0.40126,0.51301,0.50157,0.27957,1.51157,2.31025,1.4847,0.000260758,0.000260758,0.000260758
6,28.6809,1.91914,2.55309,1.78357,0.52449,0.38873,0.45037,0.26566,1.5416,2.74058,1.5248,0.000312401,0.000312401,0.000312401
7,30.8095,1.70594,1.99817,1.53976,0.53007,0.38031,0.44503,0.23197,1.62061,2.4983,1.58561,0.000362912,0.000362912,0.000362912
8,32.9824,1.69582,2.04261,1.55702,0.37979,0.41005,0.32727,0.19143,1.58831,2.6137,1.64409,0.000412291,0.000412291,0.000412291
9,35.0855,1.73194,2.12637,1.56289,0.74734,0.38228,0.51136,0.31596,1.65264,2.19661,1.66234,0.000460538,0.000460538,0.000460538
10,37.3576,1.53554,1.89534,1.50753,0.58499,0.43702,0.56469,0.34791,1.59789,2.72509,1.58791,0.000507654,0.000507654,0.000507654
11,41.3376,1.78032,1.96488,1.61116,0.64277,0.52918,0.53821,0.29264,1.56611,2.45571,1.53394,0.000553637,0.000553637,0.000553637
12,46.2929,1.67014,1.92738,1.55393,0.56435,0.44268,0.42456,0.25488,1.65275,2.5603,1.5705,0.000598489,0.000598489,0.000598489
13,48.9684,1.66559,1.72531,1.56534,0.42354,0.49603,0.45126,0.26291,1.61012,2.9703,1.623,0.00064221,0.00064221,0.00064221
14,50.9777,1.63433,1.76839,1.55542,0.79827,0.33598,0.43771,0.23845,1.62707,2.27678,1.61798,0.000684798,0.000684798,0.000684798
15,53.0245,1.60487,1.66334,1.49608,0.62353,0.40079,0.42082,0.21408,1.58326,2.71541,1.63652,0.000726255,0.000726255,0.000726255
16,55.5162,1.59887,1.65634,1.51746,0.66174,0.45357,0.46308,0.24618,1.57417,3.52095,1.64934,0.00076658,0.00076658,0.00076658
17,60.008,1.5034,1.75435,1.47211,0.62601,0.54164,0.52183,0.27082,1.5885,2.82404,1.63019,0.000805773,0.000805773,0.000805773
18,63.1466,1.61224,1.82507,1.53691,0.82614,0.40376,0.43704,0.23066,1.82373,2.55494,1.85985,0.000843835,0.000843835,0.000843835
19,65.6587,1.70244,1.91169,1.59536,0.75786,0.31277,0.38089,0.1949,1.84473,2.48009,1.91563,0.000880764,0.000880764,0.000880764
20,67.6824,1.49422,1.69794,1.45506,0.75066,0.30341,0.41714,0.23883,2.02673,2.30213,2.03803,0.000916562,0.000916562,0.000916562
21,69.7224,1.57133,1.61375,1.55894,0.53304,0.27851,0.32997,0.17864,1.89711,2.51059,1.87359,0.000951228,0.000951228,0.000951228
22,71.7412,1.65573,1.5551,1.44517,0.51032,0.20503,0.2726,0.13206,1.88935,2.70069,1.94222,0.000984762,0.000984762,0.000984762
23,73.8297,1.61369,1.80401,1.64194,0.41421,0.35357,0.32713,0.1786,1.95249,2.62543,2.06717,0.00101717,0.00101717,0.00101717
24,76.5536,1.55863,1.48497,1.51133,0.24785,0.37037,0.32698,0.20062,1.83595,3.27786,1.96715,0.00104844,0.00104844,0.00104844
25,79.5891,1.59305,1.70527,1.52438,0.43233,0.28704,0.33386,0.19777,1.93136,5.06702,1.95154,0.00107857,0.00107857,0.00107857
26,82.647,1.72379,1.42446,1.50781,0.40691,0.33466,0.32176,0.17057,2.00926,5.53758,1.99189,0.00107532,0.00107532,0.00107532
27,84.6095,1.55324,1.44908,1.50318,0.31014,0.27034,0.30983,0.15782,1.92285,4.02096,1.90641,0.00106118,0.00106118,0.00106118
28,86.6076,1.62752,1.51511,1.55151,0.46412,0.46311,0.37565,0.18195,1.69252,2.55507,1.76046,0.00104703,0.00104703,0.00104703
29,88.6367,1.55014,1.50492,1.54009,0.42564,0.39021,0.35741,0.17726,1.84506,2.516,1.90579,0.00103288,0.00103288,0.00103288
30,90.7022,1.4847,1.42611,1.4757,0.39919,0.38228,0.37703,0.18749,1.98165,2.54413,1.96267,0.00101873,0.00101873,0.00101873
31,92.9312,1.50864,1.41444,1.44382,0.37584,0.37169,0.35243,0.17393,2.07755,2.52704,2.16285,0.00100459,0.00100459,0.00100459
32,95.7319,1.54354,1.31104,1.43265,0.70325,0.34096,0.37819,0.17072,2.04589,2.41268,2.0733,0.00099044,0.00099044,0.00099044
33,98.988,1.59929,1.30926,1.44901,0.58437,0.40366,0.4628,0.22985,1.97086,2.30752,1.91214,0.000976293,0.000976293,0.000976293
34,101.54,1.44423,1.36319,1.41191,0.51244,0.39203,0.4336,0.20978,1.97123,2.38268,1.91622,0.000962146,0.000962146,0.000962146
35,103.549,1.49373,1.37748,1.51088,0.88591,0.32737,0.40228,0.20866,1.95392,2.63017,1.85733,0.000947999,0.000947999,0.000947999
36,105.587,1.77956,1.88253,1.60001,0.82922,0.28546,0.30766,0.15194,1.95253,2.94595,1.94514,0.000933851,0.000933851,0.000933851
37,107.558,1.45688,1.23967,1.4424,0.4654,0.40867,0.28082,0.13654,2.05166,2.59152,2.03872,0.000919704,0.000919704,0.000919704
38,109.551,1.52077,1.39401,1.49367,0.55107,0.31746,0.28612,0.14103,2.2202,2.48499,2.18145,0.000905557,0.000905557,0.000905557
